Customer,Inter-Arrival Time,Arrival Time,Wait Time,Service Time,Service Start Time,Service End Time,Time in System,Idle Time Before Service
1,3.32,3.32,-0.0,5.9,3.32,9.22,5.9,3.32
2,5.59,8.91,0.31,3.4,9.22,12.62,3.71,0.0
3,4.16,13.08,-0.0,1.37,13.08,14.45,1.37,0.46
4,4.52,17.59,0.0,1.06,17.59,18.65,1.06,3.14
5,8.0,25.59,0.0,3.53,25.59,29.12,3.53,6.94
6,6.28,31.87,-0.0,3.59,31.87,35.46,3.59,2.75
7,4.29,36.16,0.0,2.83,36.16,38.99,2.83,0.7
8,1.13,37.3,1.69,1.04,38.99,40.03,2.73,0.0
9,7.93,45.22,0.0,1.29,45.22,46.51,1.29,5.19
10,1.01,46.23,0.28,2.26,46.51,48.77,2.54,0.0
11,3.34,49.58,-0.0,3.74,49.58,53.32,3.74,0.81
12,2.32,51.89,1.43,4.14,53.32,57.46,5.57,0.0
13,7.83,59.73,-0.0,2.35,59.73,62.08,2.35,2.27
14,1.68,61.41,0.67,4.43,62.08,66.51,5.1,0.0
15,7.76,69.18,-0.0,4.36,69.18,73.54,4.36,2.67
16,1.2,70.37,3.17,3.11,73.54,76.65,6.28,0.0
17,2.39,72.76,3.89,4.84,76.65,81.49,8.73,0.0
18,4.99,77.76,3.73,3.11,81.49,84.6,6.84,0.0
19,1.65,79.41,5.19,4.31,84.6,88.91,9.5,0.0
20,6.56,85.97,2.94,2.74,88.91,91.65,5.68,0.0
21,7.29,93.26,0.0,4.7,93.26,97.96,4.7,1.61
22,5.41,98.67,0.0,1.95,98.67,100.62,1.95,0.71
23,6.96,105.63,0.0,3.01,105.63,108.64,3.01,5.01
24,7.98,113.62,-0.0,1.69,113.62,115.31,1.69,4.98
25,1.25,114.86,0.45,4.19,115.31,119.5,4.64,0.0
26,1.53,116.4,3.1,1.06,119.5,120.56,4.16,0.0
27,5.51,121.91,0.0,4.5,121.91,126.41,4.5,1.35
28,5.84,127.75,-0.0,3.75,127.75,131.5,3.75,1.34
29,6.05,133.8,-0.0,2.02,133.8,135.82,2.02,2.3
30,7.55,141.35,-0.0,4.98,141.35,146.33,4.98,5.53
31,6.86,148.21,-0.0,2.98,148.21,151.19,2.98,1.88
32,3.84,152.05,-0.0,4.0,152.05,156.05,4.0,0.86
33,7.05,159.1,-0.0,1.92,159.1,161.02,1.92,3.05
34,6.52,165.61,0.0,2.61,165.61,168.22,2.61,4.59
35,7.6,173.22,-0.0,1.56,173.22,174.78,1.56,5.0
36,4.49,177.71,-0.0,5.26,177.71,182.97,5.26,2.93
37,3.97,181.68,1.29,1.27,182.97,184.24,2.56,0.0
38,2.93,184.61,0.0,1.61,184.61,186.22,1.61,0.37
39,3.9,188.52,-0.0,4.44,188.52,192.96,4.44,2.3
40,7.46,195.98,-0.0,4.06,195.98,200.04,4.06,3.02
41,1.99,197.97,2.07,4.77,200.04,204.81,6.84,0.0
42,7.28,205.25,0.0,1.78,205.25,207.03,1.78,0.44
43,7.77,213.02,0.0,2.37,213.02,215.39,2.37,5.99
44,2.03,215.05,0.34,1.46,215.39,216.85,1.8,0.0
45,1.15,216.2,0.65,5.46,216.85,222.31,6.11,0.0
46,2.3,218.49,3.82,4.77,222.31,227.08,8.59,0.0
47,6.99,225.48,1.6,3.39,227.08,230.47,4.99,0.0
48,5.97,231.45,0.0,2.12,231.45,233.57,2.12,0.98
49,3.14,234.6,-0.0,3.61,234.6,238.21,3.61,1.03
50,2.41,237.01,1.2,1.48,238.21,239.69,2.68,0.0
51,3.84,240.85,0.0,3.44,240.85,244.29,3.44,1.16
52,4.34,245.19,0.0,3.86,245.19,249.05,3.86,0.9
53,2.03,247.22,1.83,5.64,249.05,254.69,7.47,0.0
54,3.01,250.23,4.46,2.44,254.69,257.13,6.9,0.0
55,6.51,256.74,0.39,2.53,257.13,259.66,2.92,0.0
56,4.19,260.93,0.0,2.56,260.93,263.49,2.56,1.27
57,3.79,264.72,0.0,5.68,264.72,270.4,5.68,1.23
58,1.06,265.78,4.62,5.96,270.4,276.36,10.58,0.0
59,4.53,270.31,6.05,2.6,276.36,278.96,8.65,0.0
60,3.32,273.63,5.33,3.78,278.96,282.74,9.11,0.0
61,3.04,276.67,6.07,5.74,282.74,288.48,11.81,0.0
62,3.39,280.06,8.42,4.77,288.48,293.25,13.19,0.0
63,1.95,282.01,11.24,1.34,293.25,294.59,12.58,0.0
64,1.9,283.91,10.68,4.13,294.59,298.72,14.81,0.0
65,5.92,289.84,8.88,3.55,298.72,302.27,12.43,0.0
66,1.32,291.16,11.11,1.06,302.27,303.33,12.17,0.0
67,3.15,294.31,9.02,5.58,303.33,308.91,14.6,0.0
68,3.3,297.61,11.3,3.17,308.91,312.08,14.47,0.0
69,2.11,299.71,12.37,3.58,312.08,315.66,15.95,0.0
70,6.89,306.6,9.06,5.99,315.66,321.65,15.05,0.0
71,2.09,308.7,12.95,4.31,321.65,325.96,17.26,0.0
72,5.83,314.53,11.43,3.6,325.96,329.56,15.03,0.0
73,7.22,321.75,7.81,5.89,329.56,335.45,13.7,0.0
74,4.22,325.97,9.48,1.71,335.45,337.16,11.19,0.0
75,5.78,331.75,5.41,2.49,337.16,339.65,7.9,0.0
76,5.08,336.82,2.83,4.36,339.65,344.01,7.19,0.0
77,5.17,342.0,2.01,1.65,344.01,345.66,3.66,0.0
78,5.46,347.45,0.0,1.85,347.45,349.3,1.85,1.79
79,2.63,350.09,-0.0,2.28,350.09,352.37,2.28,0.79
80,7.42,357.5,0.0,2.82,357.5,360.32,2.82,5.13
81,7.91,365.41,0.0,3.16,365.41,368.57,3.16,5.09
82,6.4,371.81,0.0,3.27,371.81,375.08,3.27,3.24
83,6.43,378.24,0.0,4.5,378.24,382.74,4.5,3.16
84,7.57,385.82,-0.0,5.44,385.82,391.26,5.44,3.08
85,7.54,393.35,0.0,5.25,393.35,398.6,5.25,2.09
86,1.55,394.91,3.69,2.69,398.6,401.29,6.38,0.0
87,4.74,399.65,1.64,1.11,401.29,402.4,2.75,0.0
88,3.04,402.69,-0.0,5.69,402.69,408.38,5.69,0.29
89,5.95,408.64,-0.0,1.78,408.64,410.42,1.78,0.26
90,3.49,412.13,-0.0,4.49,412.13,416.62,4.49,1.71
91,7.56,419.69,0.0,4.89,419.69,424.58,4.89,3.07
92,1.13,420.83,3.75,2.44,424.58,427.02,6.19,0.0
93,3.23,424.06,2.96,2.71,427.02,429.73,5.67,0.0
94,2.8,426.86,2.87,1.3,429.73,431.03,4.17,0.0
95,2.35,429.2,1.83,1.15,431.03,432.18,2.98,0.0
96,4.42,433.62,-0.0,4.57,433.62,438.19,4.57,1.44
97,7.3,440.92,0.0,2.95,440.92,443.87,2.95,2.73
98,2.29,443.21,0.66,4.76,443.87,448.63,5.42,0.0
99,6.81,450.02,-0.0,3.46,450.02,453.48,3.46,1.39
100,5.3,455.32,-0.0,2.71,455.32,458.03,2.71,1.84
101,5.53,460.85,-0.0,3.94,460.85,464.79,3.94,2.82
102,7.45,468.3,-0.0,4.3,468.3,472.6,4.3,3.51
103,7.26,475.56,-0.0,3.71,475.56,479.27,3.71,2.96
